sample_no,No.,Time,Source,Destination,Protocol,Length,Info,avrg_len,var_len,IAT,avrg_IAT,var_IAT,count,upload_count
87,91216,186.464983236,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,948,"QoS Data, SN=265, FN=0, Flags=.p.....TC",416.109243697479,177692.04728671134,2.9262299030000065,0.034322587462185083,0.07248688256750963,119,119
88,92037,188.578902288,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,120,"QoS Data, SN=40, FN=0, Flags=.p..R..TC",158.9787234042553,122.10823311748385,0.9557610469999815,0.05262976725531888,0.022690437585269167,47,47
89,93226,190.737984415,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,165,"QoS Data, SN=332, FN=0, Flags=.p.....TC",162.97222222222223,113.39920634920638,0.6412441129999991,0.04271424922222246,0.022144432909696102,36,36
90,93875,192.388776661,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,167,"QoS Data, SN=340, FN=0, Flags=.p.....TC",157.64285714285714,417.0164835164834,0.7543233869999995,0.1642155675000002,0.06942904381804929,14,14
91,94758,194.340011679,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,154,"QoS Data, SN=345, FN=0, Flags=.p.....TC",240.49425287356323,64720.508687516674,0.4065404600000022,0.026557719931034448,0.007195812663088599,87,87
92,96337,196.247275093,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=400, FN=0, Flags=.p.....TC",390.82608695652175,99722.10241545894,0.0032822400000043217,0.03249593106521702,0.01108074255800126,46,46
93,98044,198.550600889,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,321,"QoS Data, SN=417, FN=0, Flags=.p.....TC",927.4,345099.8,0.8117952070000172,0.4824500322000006,0.32098520142683135,5,5
94,99319,200.451674832,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,161,"QoS Data, SN=420, FN=0, Flags=.p.....TC",162.20689655172413,4.098522167487703,0.3006189890000144,0.07103363772413841,0.017285857733085126,29,29
95,101247,202.311061259,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,164,"QoS Data, SN=432, FN=0, Flags=.p.....TC",357.6236559139785,186914.95465170647,0.10002992200000449,0.02118331107526874,0.002196202552697231,93,93
96,104099,204.448728229,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,163,"QoS Data, SN=486, FN=0, Flags=.p.....TC",530.9873417721519,313390.3972736125,0.26764896200000976,0.023735005215189845,0.002076427390021693,79,79
97,106483,206.500721374,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1370,"QoS Data, SN=519, FN=0, Flags=.p..R..TC",1370.0,,0.44457669499999497,0.44457669499999497,,1,1
103,107340,218.77349476,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,261,"QoS Data, SN=171, FN=0, Flags=.p..R..TC",196.36363636363637,4791.654545454547,12.272773386000011,1.1403249282727266,13.63864271569118,11,11
105,107756,223.18024906,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=1048, FN=0, Flags=.p.....TC",801.2872340425532,598676.3789750626,4.135953475000008,0.052166554627659636,0.18208821103973727,94,86
106,108062,224.391522306,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=1215, FN=0, Flags=.p.....TC",193.94117647058823,36706.038883349946,0.4435705860000212,0.018986886722689084,0.003861814881824555,119,119
107,108905,226.462354256,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,153,"QoS Data, SN=1301, FN=0, Flags=.p.....TC",313.15441176470586,361779.3019063181,0.2549630160000049,0.014872696647058807,0.002549323066142513,136,128
108,109869,228.253019908,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,156,"QoS Data, SN=1363, FN=0, Flags=.p.....TC",876.9565217391304,506045.0969899663,0.022941924000008385,0.018099682521739106,0.004041539244833989,92,87
109,110761,230.362292037,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,158,"QoS Data, SN=191, FN=0, Flags=.p.....TC",623.9906976744186,847539.6728102586,0.4670432610000148,0.010780400651162836,0.0022561402366510054,215,177
110,112430,233.220230352,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=292, FN=0, Flags=.p..R..TC",1032.0555555555557,234898.1732026144,1.0071954359999893,0.1030191713888892,0.07701460342632853,18,18
111,113350,234.94978757,aa:3a:0e:b6:ed:12,IPv4mcast_fb,802.11,216,"QoS Data, SN=1383, FN=0, Flags=.p.....TC",182.0,867.0,0.8824075690000086,0.6834301706666679,0.3408176855363702,3,3
112,114380,236.721303602,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,155,"QoS Data, SN=1384, FN=0, Flags=.p.....TC",155.0,0.0,0.6036330889999988,0.09610716694444459,0.05709536348861669,18,18
113,115269,238.76905181,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=1388, FN=0, Flags=.p.....TC",335.0416666666667,173259.06205673766,0.9214522919999979,0.04696512681249961,0.028532854188636415,48,48
115,117097,243.224799724,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=1418, FN=0, Flags=.p.....TC",402.46153846153845,170806.4984615384,3.1228741190000164,0.15797548084615387,0.39024938535450787,26,26
118,118718,250.177463622,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,155,"QoS Data, SN=1429, FN=0, Flags=.p.....TC",362.85714285714283,201673.6703296703,5.968175515000013,0.4307365927857144,2.5401819449491825,14,14
119,118793,250.250275431,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,221,"QoS Data, SN=1443, FN=0, Flags=.p.....TC",710.452380952381,313176.9217142858,0.010675025000011829,0.015924200325396928,0.020759217423271036,126,126
120,119483,252.252417023,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,186,"QoS Data, SN=1497, FN=0, Flags=.p..R..TC",422.32710280373834,228927.6561453007,0.006367375999985825,0.01769511574766336,0.008235410201203292,107,107
121,120349,254.71847824,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,153,"QoS Data, SN=1535, FN=0, Flags=.p.....TC",590.4736842105264,336282.7076023391,0.5790512080000099,0.04489858447368533,0.01792777784401715,19,19
122,120656,256.247620093,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,156,"QoS Data, SN=1566, FN=0, Flags=.p.....TC",1011.2380952380952,263883.49047619046,1.2551199560000157,0.0683778426666655,0.07511213267214294,21,21
123,121123,259.142084829,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,175,"QoS Data, SN=1608, FN=0, Flags=.p.....TC",351.44444444444446,141311.46644106042,2.713649996000015,0.018705732383838578,0.0374058368822482,198,198
124,121792,260.247702408,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,141,"QoS Data, SN=53, FN=0, Flags=.p.....TC",451.32608695652175,248871.76964426876,0.11553256299998793,0.0076526263442028685,0.0005728964091966309,276,274
125,122857,262.288851619,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1843, FN=0, Flags=.p.....TC",421.9425287356322,189089.25679356855,0.04455690300000015,0.010975706936781682,0.0005883042655509861,174,174
126,123903,264.311408768,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=1906, FN=0, Flags=.p.....TC",494.4611650485437,182913.96677717264,0.15734104499995283,0.009971046582524023,0.0007150253073893029,206,206
127,124816,266.258389591,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,244,"QoS Data, SN=1986, FN=0, Flags=.p..R..TC",254.30351437699682,73439.59027607109,0.05028627200005076,0.006506069629393077,0.0006493232979531829,313,312
128,126230,268.247803226,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2120, FN=0, Flags=.p..R..TC",255.2450980392157,176500.0184487589,0.0033001129999661316,0.00935307699509791,0.001311704255203848,204,200
129,127050,270.277057213,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2242, FN=0, Flags=.p.....TC",249.19880715705764,213058.51019777727,0.12452639299999646,0.004155720566600425,0.0009124050078185262,503,491
130,128443,272.251356134,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2436, FN=0, Flags=.p..R..TC",295.386301369863,328074.82778292516,0.008497868999995717,0.0018274485132420298,8.561299511128915e-05,1095,1047
131,130923,274.285020153,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=3107, FN=0, Flags=.p.....TC",360.59887005649716,252764.9236968339,0.04110576599998694,0.003510494952919002,0.0002260498204044999,531,525
132,132229,276.298530402,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,186,"QoS Data, SN=3389, FN=0, Flags=.p.....TC",357.7037037037037,289687.5321041567,0.19054319499997519,0.004638340629629567,0.0005730493272527768,459,441
133,133511,278.246741686,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=3630, FN=0, Flags=.p..R..TC",250.80555555555554,121472.31996907429,0.009756130000027952,0.003946718365079441,0.0004082402714530343,504,493
134,135080,280.315380807,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,155,"QoS Data, SN=3918, FN=0, Flags=.p..R..TC",337.58474576271186,153267.7417237648,0.08924919499997941,0.008552823898305074,0.0028572998759640116,236,236
135,136064,282.247837332,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,168,"QoS Data, SN=4050, FN=0, Flags=.p.....TC",315.75103391232426,202085.76329570153,0.003239280000002509,0.001629729021505343,4.799936097295727e-05,1209,1192
136,139100,284.263908928,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=590, FN=0, Flags=.p..R..TC",243.61507936507937,80338.69188326062,0.0489684890000035,0.007092169869047716,0.00035531481485941163,252,251
137,140112,286.922088293,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=678, FN=0, Flags=.p.....TC",403.14814814814815,181262.77580772262,0.9199210470000025,0.011863374021164049,0.0048748829182854395,189,189
138,141001,288.24751384,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,154,"QoS Data, SN=740, FN=0, Flags=.p.....TC",208.17741935483872,31591.3341201154,0.003168904000006023,0.014489997145161275,0.008437574100375288,124,124
140,141865,292.462294244,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,167,"QoS Data, SN=831, FN=0, Flags=.p.....TC",766.2666666666667,147527.06666666668,2.4211896620000175,0.2734880045333322,0.4132268470795137,15,15
141,142020,294.332622331,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,158,"QoS Data, SN=852, FN=0, Flags=.p.....TC",189.45454545454547,950.2727272727279,0.189197680999996,0.07264691472727236,0.01876856179480949,11,11
142,142386,296.381908692,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=856, FN=0, Flags=.p.....TC",322.80833333333334,98746.1394257703,1.4393679800000427,0.026401891841666726,0.020390435726519766,120,120
143,143281,299.371214129,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,188,"QoS Data, SN=918, FN=0, Flags=.p.....TC",245.75468975468976,153927.8732619339,1.2604463960000203,0.0030579596969697053,0.0023113723385942086,693,680
144,144795,300.249575025,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,155,"QoS Data, SN=1342, FN=0, Flags=.p.....TC",300.26021934197405,205502.71964346463,0.019641222000018388,0.00200250554436693,6.27832298523169e-05,1003,982
145,147237,302.282114806,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1876, FN=0, Flags=.p.....TC",254.569746909947,168374.94728209128,0.013435776999983773,0.001179291510300178,2.3977767506581253e-05,1699,1671
146,151157,304.300425861,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,186,"QoS Data, SN=3144, FN=0, Flags=.p..R..TC",219.40647773279352,79589.7536046826,0.05836272099998041,0.0015689089165991542,4.1822355951732174e-05,1235,1227
147,153998,306.29749827,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=315, FN=0, Flags=.p.....TC",504.18897637795277,273011.4243219598,0.11783261800002265,0.01436466562204725,0.001110437298573053,127,126
148,155257,308.440684762,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,913,"QoS Data, SN=331, FN=0, Flags=.p.....TC",249.0453781512605,122489.15113600995,0.43670657600000595,0.003707142944537885,0.0004542099519245369,595,583
149,157200,310.263747648,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=3917, FN=0, Flags=.p.....TC",223.95387840670858,95383.4606197795,0.05401940999996668,0.0021325126561844605,0.0008799142588518313,954,947
150,159226,312.247289032,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=495, FN=0, Flags=.p.....TC",426.6210350584307,243824.75016701486,0.003143720000025496,0.0016705369515859893,4.309863811682294e-05,1198,1194
151,162494,314.278517561,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1053,"QoS Data, SN=1219, FN=0, Flags=.p..R..TC",532.5491803278688,304213.5776053464,0.03306898099998534,0.0027311220669398676,8.870564176586496e-05,732,730
152,164712,316.247758734,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,869,"QoS Data, SN=1715, FN=0, Flags=.p.....TC",389.4264591439689,224287.38652678265,0.003128801000002568,0.0015546772552529052,5.8124058211063046e-05,1285,1280
153,167267,318.251782969,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=2244, FN=0, Flags=.p..R..TC",610.9068577277379,431433.2177500538,0.00939276299999392,0.002048595795291723,5.989865541661626e-05,977,960
154,169460,320.246759651,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=2757, FN=0, Flags=.p..R..TC",399.1958456973294,288284.90200649993,0.0028913529999954335,0.00593799967655789,0.0002834433818902577,337,326
155,170909,322.248227287,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,135,"QoS Data, SN=3010, FN=0, Flags=.p.....TC",417.42057761732855,454128.56963004527,0.0032530980000160525,0.0036093614169674607,0.00023773735147575108,554,525
156,173036,324.247666582,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,154,"QoS Data, SN=3352, FN=0, Flags=.p.....TC",248.1238670694864,199231.93309530348,0.0031061680000448177,0.005566473033232738,0.0006637494530623368,331,323
157,174189,326.542348798,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=3937, FN=0, Flags=.p.....TC",280.1609195402299,147187.73118065245,0.45528580999996393,0.012389888758620493,0.0026128990383466476,174,172
158,174540,328.256528326,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=203, FN=0, Flags=.p.....TC",233.76732161323682,107280.5224092784,0.013624694000043291,0.0020689432037229024,0.00011778573437350242,967,961
159,176530,330.254098446,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,144,"QoS Data, SN=994, FN=0, Flags=.p.....TC",344.94545454545454,181817.4490660025,0.010526735999974335,0.009096496659090679,0.0018728127348867651,220,218
160,177465,332.247833686,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=1117, FN=0, Flags=.p..R..TC",157.875,9.449999999999994,0.003032711000003019,0.12395526831249981,0.1979944988787225,16,16
161,177995,334.69856325,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1121, FN=0, Flags=.p.....TC",248.66,60211.902448979585,0.470477982000034,0.03914880368000013,0.008044047145395857,50,50
162,178574,336.321435309,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1151, FN=0, Flags=.p.....TC",214.8709677419355,68416.34373347435,0.13590985700000147,0.03323488979032255,0.015157599661270444,62,62
163,179040,338.254964591,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,144,"QoS Data, SN=1164, FN=0, Flags=.p..R..TC",301.85227272727275,85565.59861546502,0.008875971999998455,0.02208331789772767,0.005149678070942004,88,88
164,179738,341.196636857,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1209, FN=0, Flags=.p.....TC",163.0,37.56521739130438,1.0072162629999752,0.07084066112499936,0.0522135796074314,24,24
165,180045,342.287025494,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=1213, FN=0, Flags=.p.....TC",163.9777777777778,3800.6062421972524,0.39742903299998034,0.011367310166666459,0.003048267769705773,90,90
166,180737,344.291732121,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1263, FN=0, Flags=.p.....TC",203.10714285714286,18519.132960413077,1.3790777450000178,0.03855712495238114,0.031240064012997334,84,84
167,181640,346.542702844,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1281, FN=0, Flags=.p.....TC",147.0,0.0,0.39124997200002554,0.11591587570588298,0.04630112403252892,17,17
168,182286,348.931781284,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,616,"QoS Data, SN=1285, FN=0, Flags=.p.....TC",305.0243902439024,54864.82439024388,0.8097585250000066,0.04691042182926777,0.018841522393953498,41,41
169,182701,350.354001465,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1301, FN=0, Flags=.p.....TC",309.50531914893617,98405.6630731597,0.308651411000028,0.010462155154255439,0.0010491658755095914,188,188
170,183580,352.342040231,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1371, FN=0, Flags=.p.....TC",242.97297297297297,23478.054054054053,0.3298050079999939,0.02705364267567547,0.007503324756886965,74,74
171,183949,354.25496249,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1385, FN=0, Flags=.p.....TC",467.6842105263158,234486.56140350876,0.2407577090000359,0.08778907015789628,0.010807149406649483,19,19
172,184184,356.319353716,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,167,"QoS Data, SN=1393, FN=0, Flags=.p.....TC",167.0,,0.6371566020000046,0.6371566020000046,,1,1
